Date Time,min,max,mean,id
2022-02-16,5.246,6.444,5.831646,8760721
2022-02-21,5.456,6.247,5.9138083,8760721
2022-02-01,31.401,33.51,32.44202,8760922
2022-02-06,31.985,32.523,32.23899,8760922
2022-02-11,31.109,32.815,31.899916,8760922
2022-02-16,31.509,33.186,32.259026,8760922
2022-02-21,31.975,32.7,32.302826,8760922
2022-02-01,5.646,6.614,6.1316876,8761955
2022-02-06,3.871,4.308,4.034079,8761955
2022-02-11,2.234,3.002,2.6715958,8761955
2022-02-16,4.308,5.112,4.780821,8761955
2022-02-21,5.633,6.007,5.7914333,8761955
2022-02-01,3.472,5.139,4.343724,8773259
2022-02-06,3.127,4.419,3.9157531,8773259
2022-02-11,2.747,4.019,3.4229708,8773259
2022-02-16,3.502,4.434,4.0384126,8773259
2022-02-21,3.798,4.567,4.240286,8773259
2022-02-01,11.929,13.192,12.571862,8773701
2022-02-06,11.644,12.635,12.177492,8773701
2022-02-11,11.293,12.175,11.734016,8773701
2022-02-16,11.873,12.559,12.230828,8773701
2022-02-21,12.146,12.641,12.39002,8773701
2022-02-01,25.446,27.746,26.7555,8773767
2022-02-06,26.319,27.195,26.760479,8773767
2022-02-11,25.446,26.759,26.166605,8773767
2022-02-16,25.869,27.162,26.6921,8773767
2022-02-21,26.437,27.182,26.886946,8773767
2022-02-01,10.666,13.638,12.064,8723214
2022-02-06,10.4,12.769,11.627462,8723214
2022-02-11,11.03,12.667,11.923767,8723214
2022-02-16,10.633,12.986,11.787142,8723214
2022-02-21,10.443,12.72,11.589608,8723214
2022-02-01,3.061,5.174,4.003725,8735180
2022-02-06,3.271,4.14,3.6262333,8735180
2022-02-11,2.897,4.715,3.6326625,8735180
2022-02-16,3.304,4.531,3.8836083,8735180
2022-02-21,3.507,4.262,3.8036416,8735180
2022-02-01,29.127,31.759,30.362974,8735391
2022-02-06,29.436,30.636,30.095959,8735391
2022-02-11,28.934,31.076,29.98195,8735391
2022-02-16,29.337,31.037,30.250063,8735391
2022-02-21,29.767,30.804,30.124063,8735391
2022-02-01,13.757,16.237,14.878421,8735523
2022-02-06,13.993,15.043,14.359421,8735523
2022-02-11,13.53,15.541,14.43635,8735523
2022-02-16,13.94,15.492,14.760504,8735523
2022-02-21,14.295,15.23,14.615712,8735523
2022-02-01,28.842,31.46,30.10275,8736897
2022-02-06,28.99,30.22,29.451345,8736897
2022-02-11,28.681,30.758,29.63843,8736897
2022-02-16,29.094,30.719,30.0226,8736897
2022-02-21,29.452,30.666,29.846617,8736897
2022-02-01,1.627,4.262,2.9200916,8737048
2022-02-06,2.011,3.077,2.3644874,8737048
2022-02-11,1.654,3.668,2.6046457,8737048
2022-02-16,1.906,3.596,2.8947196,8737048
2022-02-21,2.326,3.448,2.6906736,8737048
2022-02-01,24.816,27.411,26.103075,8737138
2022-02-06,25.157,26.394,25.585829,8737138
2022-02-11,24.856,26.893,25.838556,8737138
2022-02-16,25.184,26.841,26.10355,8737138
2022-02-21,25.449,26.699,25.899698,8737138
2022-02-01,19.495,22.218,20.761341,8738043
2022-02-06,19.987,21.171,20.502188,8738043
2022-02-11,19.521,21.627,20.474413,8738043
2022-02-16,19.636,21.493,20.67383,8738043
2022-02-21,20.276,21.286,20.70762,8738043
2022-02-01,26.749,29.518,28.040297,8739803
2022-02-06,27.221,28.304,27.723682,8739803
2022-02-11,26.663,28.796,27.651367,8739803
2022-02-16,26.847,28.72,27.922604,8739803
2022-02-21,27.47,28.415,27.911463,8739803
2022-02-01,19.862,20.433,20.166504,8764044
2022-02-06,19.268,19.551,19.424383,8764044
2022-02-11,18.448,19.541,18.930191,8764044
2022-02-16,19.167,19.843,19.44775,8764044
2022-02-21,19.452,19.82,19.675505,8764044
2022-02-01,23.832,26.132,25.196833,8764227
2022-02-06,24.341,25.072,24.696554,8764227
2022-02-11,23.386,25.371,24.385263,8764227
2022-02-16,23.773,25.623,24.834782,8764227
2022-02-21,24.15,25.358,24.7967,8764227
2022-02-01,12.552,15.404,14.327967,8764314
2022-02-06,13.514,14.288,13.873417,8764314
2022-02-11,12.306,14.58,13.551263,8764314
2022-02-16,12.795,14.879,14.035267,8764314
2022-02-21,13.182,14.616,13.946754,8764314
2022-02-01,20.356,26.63,22.992237,8447386
2022-02-06,20.651,24.979,22.780737,8447386
2022-02-11,21.84,24.455,23.199041,8447386
2022-02-16,19.991,25.05,22.63513,8447386
2022-02-21,20.193,25.851,22.767008,8447386
2022-02-01,1.368,6.562,3.5076542,8452660
2022-02-06,1.706,5.026,3.2935834,8452660
2022-02-11,2.566,4.731,3.6805959,8452660
2022-02-16,1.122,5.194,3.095529,8452660
2022-02-21,1.106,5.728,3.1445374,8452660
2022-02-01,18.041,23.99,20.479416,8452944
2022-02-06,18.32,22.333,20.298233,8452944
2022-02-11,19.436,21.965,20.738655,8452944
2022-02-16,17.697,22.493,20.140583,8452944
2022-02-21,17.802,23.212,20.240953,8452944
2022-02-01,2.982,9.216,5.5717793,8454000
2022-02-06,3.248,7.546,5.401125,8454000
2022-02-11,4.511,7.192,5.8674207,8454000
2022-02-16,2.677,7.697,5.2930794,8454000
2022-02-21,2.776,8.494,5.420496,8454000
2022-02-01,22.425,27.913,24.705925,8454049
2022-02-06,22.828,26.388,24.529196,8454049
2022-02-11,23.684,26.053,24.909927,8454049
2022-02-16,22.165,26.572,24.309008,8454049
2022-02-21,22.11,27.083,24.353107,8454049
2022-02-01,17.864,26.158,21.814146,8465705
2022-02-06,17.7,24.626,21.433283,8465705
2022-02-11,19.35,24.124,21.649275,8465705
2022-02-16,17.864,24.757,21.149422,8465705
2022-02-21,17.687,24.721,21.127388,8465705
2022-02-01,3.248,7.146,5.044179,8461490
2022-02-06,3.058,6.099,4.891254,8461490
2022-02-11,4.236,6.25,5.182979,8461490
2022-02-16,3.245,6.24,4.5902042,8461490
2022-02-21,3.261,6.309,4.6303377,8461490
2022-02-01,12.359,21.85,17.096191,8516945
2022-02-06,12.448,20.19,16.614717,8516945
2022-02-11,14.17,19.587,16.706005,8516945
2022-02-16,12.451,20.315,16.25134,8516945
2022-02-21,12.064,20.187,16.150555,8516945
2022-02-01,2.966,9.508,5.938579,8518750
2022-02-06,3.176,7.841,5.6756,8518750
2022-02-11,4.364,7.605,5.971279,8518750
2022-02-16,2.766,7.953,5.345025,8518750
2022-02-21,2.674,7.904,5.35125,8518750
2022-02-01,3.868,10.784,7.0620084,8519483
2022-02-06,4.062,9.111,6.8150167,8519483
2022-02-11,5.341,8.99,7.101269,8519483
2022-02-16,3.701,9.216,6.472796,8519483
2022-02-21,3.589,9.081,6.456121,8519483
2022-02-01,2.264,9.003,5.257071,8531680
2022-02-06,2.844,7.159,5.0144167,8531680
2022-02-11,3.648,7.044,5.2732553,8531680
2022-02-16,1.982,7.349,4.618429,8531680
2022-02-21,1.988,7.136,4.552554,8531680
2022-02-01,22.067,24.573,23.24985,8741533
2022-02-06,22.379,23.251,22.7887,8741533
2022-02-11,21.913,23.921,22.775179,8741533
2022-02-16,22.26,23.891,23.117891,8741533
2022-02-21,22.667,23.527,23.038263,8741533
2022-02-01,24.222,28.002,26.123108,8722956
2022-02-06,24.662,27.172,25.8954,8722956
2022-02-11,25.085,27.021,26.089476,8722956
2022-02-16,24.449,27.392,25.903418,8722956
2022-02-21,24.436,27.195,25.835955,8722956
2022-02-01,29.882,31.936,30.92873,8762075
2022-02-06,30.535,31.079,30.74644,8762075
2022-02-11,29.616,31.263,30.413795,8762075
2022-02-16,29.925,31.381,30.660418,8762075
2022-02-21,30.39,31.204,30.7658,8762075
2022-02-01,1.115,28.757,16.539171,9455760
2022-02-06,7.451,28.232,18.449188,9455760
2022-02-11,8.99,22.546,17.01789,9455760
2022-02-16,3.596,26.276,16.633322,9455760
2022-02-21,5.151,27.057,16.546104,9455760
2022-02-01,1.191,37.313,22.171946,9455920
2022-02-06,7.572,37.09,23.343637,9455920
2022-02-11,8.862,29.879,20.798758,9455920
2022-02-16,3.451,35.036,21.95292,9455920
2022-02-21,5.213,35.915,21.81257,9455920
2022-02-01,0.719,12.493,6.6699624,8419870
2022-02-06,1.627,10.397,6.2886333,8419870
2022-02-11,3.31,10.18,6.553479,8419870
2022-02-16,1.759,10.643,6.110533,8419870
2022-02-21,1.358,10.381,6.186129,8419870
2022-02-01,4.865,6.509,5.832804,8770475
2022-02-06,5.089,5.778,5.4575334,8770475
